Company;Name;Bean Type;Company Location;Origin;percentage;Description;# ingredients;Beans;Sugar;Cacao Butter;Vanilla;Lecithin;Salt
Zotter;El Ceibo Coop;0;Austria;Bolivia;90;smooth, intense blueberry;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;El Oro;Nacional;Austria;Ecuador;75;creamy, nutty, bready;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;Huiwani Coop;Blend;Austria;Papua New Guinea;75;hint of smoke, fruit;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;Indianer, Raw;0;Austria;Blend;58;smooth, spicy, floral;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;Kerala State;0;Austria;India;65;creamy, masculine, earthy;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;Kerala State;0;Austria;India;62;oily, subdued, caramel, salt;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;Kongo, Highlands;Forastero;Austria;Congo;68;creamy, caramel, salt, sweet;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;Loma Los Pinos, Yacao region, D.R.;0;Austria;Dominican Republic;62;spice, caramel, toffee, salty;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;Maya Mtn;0;Austria;Belize;72;muted, roasty, accessible;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Zotter;Mountains of the Moon;0;Austria;Congo;70;fatty, mild nuts, mild fruit;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Zotter;Peru;0;Austria;Peru;70;creamy, fatty, mild nutty;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;Raw;0;Austria;Blend;80;waxy, cloying, vegetal;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;Santo Domingo;0;Austria;Dominican Republic;70;strawberry, Cadbury egg;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;Satipo Pangoa region, 16hr conche;Criollo;Austria;Peru;70;woody, toast, pepper;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;Satipo Pangoa region, 20hr conche;Criollo;Austria;Peru;70;butterscotch, pepper;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
