Company;Name;Bean Type;Company Location;Origin;percentage;Description;# ingredients;Beans;Sugar;Cacao Butter;Vanilla;Lecithin;Salt
Terroir;Ecuador, batch 6-5-15;0;U.S.A.;Ecuador;77;intense, mild coffee and rum;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Terroir;Guatemala;Trinitario;U.S.A.;Guatemala;70;walnuts, cocoa, easy melt;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Terroir;Haiti;Trinitario;U.S.A.;Haiti;72;harsh, tobacco;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Terroir;Madagascar;Trinitario;U.S.A.;Madagascar;70;bright fruit, mild sour;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Terroir;Madagascar, batch 6-5-15;Trinitario;U.S.A.;Madagascar;67;sweet, rich, tannic, fruity;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Terroir;Maya Mountain;Trinitario;U.S.A.;Belize;77;berries, licorice, cocoa,bitter;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Terroir;Oko Caribe;0;U.S.A.;Dominican Republic;70;spicy, black pepper, bold;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Terroir;Peru;0;U.S.A.;Peru;70;spicy, black pepper, intense;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Terroir;Uganda, batch 6-3-15;Forastero;U.S.A.;Uganda;73;creamy, almond, butter;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
The Barn;Peru;0;Sweden;Peru;70;sandy, sweet, raisins;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Theo;Congo w/ nibs;Forastero;U.S.A.;Congo;65;sweet, vanilla, cocoa;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Theo;Ghana, Kumasi;Forastero;U.S.A.;Ghana;84;dry, slightly tart, bitter;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Theo;Ghana, Panama, Ecuador;Blend;U.S.A.;Blend;75;sandy, sweet, fruity;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Theo;Ivory Coast;0;U.S.A.;Ivory Coast;75;dry, gritty, hint of fruit, sour;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Theo;Madagascar;Trinitario;U.S.A.;Madagascar;65;sandy, sweet, blueberry;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Theo;"Venezuela; Barinos, Merida, Tachron";Blend;U.S.A.;Venezuela;91;dry, very bland, mild bitter;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Theobroma;Piura Select, Cacao Blanc;0;Japan;Peru;70;peanut butter, sour milk;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Thistle & Rose aka Aggie USU;Costa Esmeraldas, 2017 h., batch 28;0;U.S.A.;Ecuador;70;pure, bold, floral;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Tibito;Meta, lot 052;0;Colombia;Colombia;70;floral, vegetal;Cacao beans, Sugar, Lecithin;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE
Tibito;Putumayo, lot 021;0;Colombia;Colombia;70;spicy, marshmallow;Cacao beans, Sugar, Lecithin;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE
Timo A. Meyer;Belize, med roast;Trinitario;Germany;Belize;72;bright fruit, cashew;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tiny House;Kokoa Kamili;Trinitario;U.S.A.;Tanzania;71;bland, mild honey, sour;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
To'ak (Ecuatoriana);Manabi;Nacional;Ecuador;Ecuador;81;waxy, mild fruit, floral;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Tobago Estate (Pralus);Roxborough, Tobago;Trinitario;France;Tobago;70;smooth, wild berries;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Tocoti;Dominican Republic;0;U.S.A.;Dominican Republic;74;pronounced fruit, sour;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tocoti;Venezuela;0;U.S.A.;Venezuela;72;peanut butter, soapy;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tocoti;Wild Bolivian, Jungle Love;Criollo;U.S.A.;Bolivia;77;sandy, sweet;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tosier;Acul du Nard;Criollo;U.K.;Haiti;70;metallic, astringent;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tosier;Alto Beni, 2016;Criollo;U.K.;Bolivia;70;spicy, cocoa, sweet;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tosier;Maya Mtn.;Criollo;U.K.;Belize;70;honey, caramel;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tosier;Tumaco;Criollo;U.K.;Colombia;70;dull, chewy, sweet;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Treehouse;Conacado;0;U.S.A.;Dominican Republic;72;baked, roasty, coffee;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Tree to Bar;Ecuador;0;South Korea;Ecuador;70;nutty, floral;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Tribar;Piura, Gran Chilique;0;Peru;Peru;70;sweet, pungent grape, acidic;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tribar;Ucayali;0;Peru;Peru;73;powdery, complex, rubber;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tsara (Cinagra);Ambanja, Tsara Valley;0;Madagascar;Madagascar;72;cocoa, mild fruit;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
twenty-four blackbirds;Cedeno, lot 271;0;U.S.A.;Ecuador;75;intense, floral;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
twenty-four blackbirds;Dominican Republic;0;U.S.A.;Dominican Republic;73;roasty, woody, rubber off;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
twenty-four blackbirds;Dominican Republic, batch 85;0;U.S.A.;Dominican Republic;68;roasty, sligt burnt, red fruit;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
twenty-four blackbirds;Kokoa Kamili;0;U.S.A.;Tanzania;75;dry, floral, woody;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
twenty-four blackbirds;Madagascar, lot 137;Trinitario;U.S.A.;Madagascar;75;intense, red berry;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
twenty-four blackbirds;Oko Caribe;0;U.S.A.;Dominican Republic;75;spicy, sour, off note;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
twenty-four blackbirds;Palos Blancos, batch 97;0;U.S.A.;Bolivia;75;roasty, bitter, caramel, dairy;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Two Ravens;Peru;Criollo;U.S.A.;Peru;60;coarse, sweet, lemon;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Uncouth;Dominican Republic;Criollo;Canada;Dominican Republic;75;dry, coarse, hay, off;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Uncouth;Guatemala;Criollo;Canada;Guatemala;75;dry, coarse, sour;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Uncouth;Tanzania;Criollo;Canada;Tanzania;75;dry, coarse, sweet, earthy;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Un Dimanche A Paris;Dominican Republic;0;France;Dominican Republic;63;spicy and rich;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Undone;Matagalpa;0;U.S.A.;Nicaragua;74;creamy, woody,green, rubber;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Undone;San Francisco de Macoris, Nourish;0;U.S.A.;Dominican Republic;70;tart, tangy, mild cocoa;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Upchurch;Madagascar, Sassy Bar;Trinitario;U.S.A.;Madagascar;72;sweet, acidic, tart;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Upchurch;Tanzania, Party Bar;0;U.S.A.;Tanzania;72;sandy, sweet, peach;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
